subject	mean_FD	max_FD
sub-CC110033	0.08650474022224858	0.21717208875739535
sub-CC110037	0.0424643795712186	0.11777845838513934
sub-CC110045	0.030190582856366166	0.10210192758380422
sub-CC110056	0.06969451250716652	0.2525503057651089
sub-CC110069	0.04363528136256047	0.0869565260763101
sub-CC110087	0.04990434793816402	0.11361561274239558
sub-CC110098	0.09572902985955706	0.23777075373804912
sub-CC110101	0.07214355579137215	0.18321302617892649
sub-CC110126	0.032249287841979446	0.08179820489963395
sub-CC110174	0.04934418271182833	0.10951039890377717
sub-CC110182	0.032291169032794616	0.10288294668681734
sub-CC110187	0.07496545886662126	0.1718696301459336
sub-CC110319	0.07706499291099549	0.1422909864926447
sub-CC110411	0.0589639163823367	0.15181941900511278
sub-CC110606	0.02470999192604009	0.05670677133394212
sub-CC112141	0.04996987645787575	0.1581712464522234
sub-CC120049	0.026625402158514295	0.0634596649306794
sub-CC120061	0.06832856494333275	0.142598121001225
sub-CC120065	0.03418245694823415	0.09222643146305727
sub-CC120120	0.09030654562501415	0.2358543044560349
sub-CC120123	0.03377656158265851	0.0891511864302994
sub-CC120166	0.03165378993660121	0.07316109584950187
sub-CC120182	0.03842648142319185	0.0977873056837645
sub-CC120208	0.02084701923948908	0.05039860765899788
sub-CC120218	0.03384051305429514	0.07498925521032997
sub-CC120234	0.04123263844889677	0.11401008743409506
sub-CC120264	0.04822289304887489	0.1453949173233236
sub-CC120276	0.05712025243645252	0.11490355059796892
sub-CC120286	0.07259649558888241	0.13460444160368557
sub-CC120309	0.04153640148061143	0.09793433074022817
sub-CC120313	0.03185393542010544	0.06703557569068057
sub-CC120319	0.021785732790227788	0.061649140196682724
sub-CC120347	0.045950054638326264	0.13172078079384436
sub-CC120376	0.05992806953425956	0.14736477768476428
sub-CC120409	0.04074925372156099	0.09669016673617281
sub-CC120469	0.053816644831071445	0.17358886742662963
sub-CC120470	0.033175088779555155	0.097185150281578
sub-CC120550	0.031045975467128874	0.15364788051727235
sub-CC120640	0.02860716744930561	0.07698307308454243
sub-CC120727	0.059203257455633165	0.15012805104956237
sub-CC120764	0.053494774547178395	0.2352140528131982
sub-CC120795	0.03984967561710615	0.11506548931427528
sub-CC120816	0.05439612684343186	0.2958565112050772
sub-CC120987	0.02571709521709699	0.05135695263116767
sub-CC121106	0.03691986613514405	0.09662846976383306
sub-CC121111	0.04694712743361654	0.10012036825147018
sub-CC121144	0.08740475700925124	0.1638638456268191
sub-CC121158	0.022792638862327685	0.052547773841526875
sub-CC121194	0.07432976906810732	0.14469295120058712
sub-CC121200	0.026367124051274216	0.08779842948610414
sub-CC121317	0.10165794599378897	0.21779463956755227
sub-CC121397	0.047315784846376274	0.1425509653581725
sub-CC121411	0.03307010981808935	0.08618752478618932
sub-CC121428	0.07202931920638524	0.16903366186863017
sub-CC121479	0.05161798648048671	0.11785514835621777
sub-CC121685	0.08793747311596375	0.21760522690943088
sub-CC121795	0.047295263577236485	0.15986022804850542
sub-CC122172	0.056318676311406766	0.1173209540121883
sub-CC122405	0.017585162215183928	0.03551389491016157
sub-CC122620	0.07970136426323651	0.17580715380123188
sub-CC210023	0.02248967403940139	0.055346145176096956
sub-CC210051	0.03661156828660708	0.11393248046830193
sub-CC210088	0.03227856078143717	0.09175881367923193
sub-CC210124	0.04289128580110131	0.10808815393376835
sub-CC210148	0.061418520719007906	0.1341205729537792
sub-CC210172	0.05235885314847474	0.1638521160668363
sub-CC210182	0.0489822998662219	0.11853997086215265
sub-CC210250	0.026088346008802037	0.08136130690294224
sub-CC210304	0.05799466006999239	0.2035904405646788
sub-CC210314	0.03337080369979869	0.07087591809169994
sub-CC210422	0.033386990648956644	0.06528746404612144
sub-CC210519	0.031691518686196796	0.07750660991802907
sub-CC210526	0.034781541934002055	0.08624956044722779
sub-CC210617	0.06279611400790298	0.12830456395331383
sub-CC210657	0.07355292500327568	1.0886790862741003
sub-CC212153	0.06401864650243848	0.19011754164910719
sub-CC220098	0.05227564457294627	0.20823661785536182
sub-CC220107	0.0630511555732068	0.15943448007570382
sub-CC220115	0.03257225693562413	0.08660861251036181
sub-CC220132	0.06917759480607023	0.1687285147152149
sub-CC220151	0.03435116043566103	0.08193796373372968
sub-CC220198	0.08041470349522174	0.1751070288658054
sub-CC220203	0.051045657353062615	0.1266047848717022
sub-CC220223	0.03308768317310935	0.15649196247743843
sub-CC220232	0.04389797902224461	0.10883760660070654
sub-CC220234	0.10024833092014937	0.2185600387449865
sub-CC220284	0.026082928707922927	0.07031421142336307
sub-CC220323	0.029453058387802974	0.05992739555203446
sub-CC220335	0.030146246042247783	0.08214091419390218
sub-CC220352	0.04341508892955551	0.0959159440012973
sub-CC220372	0.03369140444175172	0.08836650525199014
sub-CC220394	0.06053377201754164	0.12548688330769872
sub-CC220419	0.07341549905154056	0.13066515081860963
sub-CC220506	0.020788376779784016	0.053109592866732655
sub-CC220518	0.04426797041265535	0.09695398880499967
sub-CC220519	0.05528556099656337	0.1371833729481678
sub-CC220526	0.045754877447577384	0.11707527284048883
sub-CC220535	0.054379006069660334	0.12903707315081972
sub-CC220567	0.04474574425342636	0.13991956633256158
sub-CC220610	0.02466473306913121	0.057772958201999666
sub-CC220635	0.07139479057038925	0.19238922163156646
sub-CC220697	0.04191917783964329	0.11579650953908198
sub-CC220713	0.03281291179029134	0.06975527539362167
